Suburb,Year,Total dogs
aberfoyle park,2016,2069
adelaide,2015,363
alberton,2016,318
aldinga,2016,89
aldinga beach,2016,2128
andrews farm,2015,913
angle park,2016,126
angle vale,2015,523
auburn,2016,1
auldana,2015,59
beaumont,2015,377
bedford park,2015,105
belair,2015,756
bellevue heights,2015,361
beulah park,2015,224
bibaringa,2015,53
birkenhead,2016,371
blackwood,2015,686
blair athol,2016,462
blakeview,2015,855
blewitt springs,2016,79
broadview,2016,344
brown hill creek,2015,13
buckland park,2015,41
burnside,2015,348
chandlers hill,2016,180
cherry gardens,2016,185
christie downs,2016,988
christies beach,2016,925
clapham,2015,235
clarence gardens,2015,318
clarendon,2016,164
clearview,2016,641
collinswood,2016,48
colonel light gardens,2015,559
coromandel east,2016,97
coromandel valley,2015,241
coromandel valley,2016,584
crafers west,2015,20
craigburn farm,2015,376
craigmore,2015,1800
croydon park,2016,367
cumberland park,2015,387
darlington,2016,83
davoren park,2015,761
daw park,2015,322
dernancourt,2016,27
devon park,2016,135
dorset vale,2016,1
dry creek,2016,30
dudley park,2016,89
dulwich,2015,236
eagle on the hill,2015,13
eastwood,2015,84
eden hills,2015,517
elizabeth,2015,130
elizabeth downs,2015,678
elizabeth east,2015,569
elizabeth grove,2015,307
elizabeth north,2015,483
elizabeth park,2015,440
elizabeth south,2015,370
elizabeth vale,2015,434
enfield,2016,565
erindale,2015,174
ethelton,2016,263
evanston park,2015,14
exeter,2016,234
ferryden park,2016,417
fitzroy,2016,32
flagstaff hill,2016,1685
frewville,2015,97
gepps cross,2016,67
gilles plains,2016,217
gillman,2016,23
glanville,2016,125
glen osmond,2015,265
glenalta,2015,360
glenside,2015,160
glenunga,2015,229
gould creek,2015,25
greenacres,2016,275
hackham,2016,841
hackham west,2016,733
hampstead gardens,2016,138
happy valley,2016,2135
hawthorn,2015,342
hawthorndene,2015,631
hazelwood park,2015,269
hillbank,2015,741
hillcrest,2016,410
hillier,2015,7
holden hill,2016,78
humbug scrub,2015,42
huntfield heights,2016,829
ironbank,2016,30
kangarilla,2016,268
kensington gardens,2015,226
kensington park,2015,291
kilburn,2016,497
kingswood,2015,325
klemzig,2016,583
kuitpo,2016,21
largs bay,2016,850
largs north,2016,716
leabrook,2015,174
linden park,2015,183
lonsdale,2016,35
lower mitcham,2015,350
lynton,2015,42
macdonald park,2015,162
magill,2015,263
manningham,2016,172
mansfield park,2016,318
maslin beach,2016,283
mclaren flat,2016,354
mclaren vale,2016,754
medindie gardens,2016,17
melrose park,2015,335
mitcham,2015,276
moana,2016,564
morphett vale,2016,4653
mount osmond,2015,88
munno para,2015,354
munno para downs,2015,27
munno para west,2015,516
nailsworth,2016,88
netherby,2015,215
newtown  vic  3220,2016,1
noarlunga centre,2016,10
noarlunga downs,2016,785
north adelaide,2015,454
north haven,2016,1144
northfield,2016,433
northgate,2016,391
null,2016,9
o'halloran hill,2016,476
o'sullivan beach,2016,445
oakden,2016,480
old noarlunga,2016,331
old reynella,2016,649
one tree hill,2015,194
onkaparinga hills,2016,651
osborne,2016,416
ottoway,2016,402
ovingham,2016,7
panorama,2015,296
pasadena,2015,306
penfield,2015,40
penfield gardens,2015,37
peterhead,2016,240
port adelaide,2016,189
port noarlunga,2016,627
port noarlunga south,2016,601
port willunga,2016,415
prospect,2016,550
queenstown,2016,302
reynella,2016,944
reynella east,2016,388
rose park,2015,177
rosewater,2016,593
rosslyn park,2015,163
sampson flat,2015,22
seaford,2016,796
seaford heights,2016,9
seaford meadows,2016,561
seaford rise,2016,1188
sefton park,2016,124
sellicks beach,2016,684
sellicks hill,2016,80
semaphore,2016,511
semaphore south,2016,183
skye,2015,36
smithfield,2015,304
smithfield plains,2015,313
springfield,2015,71
st georges,2015,173
st marys,2015,311
stonyfell,2015,157
taperoo,2016,678
tatachilla,2016,74
the range,2016,31
thorngate,2016,12
toorak gardens,2015,326
torrens park,2015,340
tusmore,2015,176
uleybury,2015,59
upper sturt,2015,48
urrbrae,2015,133
valley view,2016,262
virginia,2015,186
walkley heights,2016,55
waterfall gully,2015,28
waterloo corner,2015,90
wattle park,2015,202
westbourne park,2015,324
whites valley,2016,78
willunga,2016,527
willunga south,2016,138
windsor gardens,2016,617
wingfield,2016,84
woodcroft,2016,2118
woodville gardens,2016,185
yattalunga,2015,60
